source,strategy,symbol,timeframe,n_trades,trades_per_month,profit_factor,win_rate,net_pnl,expectancy,sharpe_ann,hac_sharpe_ann,max_drawdown,status,readiness,principal_blocker
full_history_baseline,tsm_adx_dmi_obv,BTCUSDT,4h,49,0.65,0.8936779333962889,0.3673469387755102,-3.71626601999742,-0.0758,-0.10743247798608278,-0.12371162342269382,0.001288466397374251,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_adx_dmi_obv,ETHUSDT,4h,37,0.49,1.5269968974169101,0.5405405405405406,8.540392554996288,0.2308,0.4378531261561116,0.45614006089065634,0.0005319129444958859,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_adx_dmi_obv,BTCUSDT,1d,6,0.08,2.927175613417245,0.5,13.334257189999335,2.2224,0.4206410433376722,0.4123896718123001,0.0009879861170127558,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_adx_dmi_obv,ETHUSDT,1d,3,0.04,0.0,0.0,-4.104209749999427,-1.3681,-0.4835975518001477,-0.5588304681069053,0.0004645468733743775,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_breakout_score,BTCUSDT,15m,3,0.04,0.0,0.0,-0.7750967450028838,-0.2584,-0.3496639409611547,-0.5153663763193033,8.209184831004799e-05,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_breakout_score,ETHUSDT,15m,2,0.03,0.0,0.0,-0.1672107699996559,-0.0836,-0.5466418147370515,-0.5485634228358611,1.672107699996559e-05,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_breakout_score,BTCUSDT,1h,0,,,,,,,,,no_signals,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_breakout_score,ETHUSDT,1h,1,0.01,0.0,0.0,-0.06011312500049826,-0.0601,-0.3983662287065924,-0.3991489457830208,6.011312500049825e-06,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_chandelier,BTCUSDT,15m,1727,22.85,0.8733649822422181,0.3294730746960046,-60.94195646998196,-0.0353,-0.7532548368762141,-0.8301011113894818,0.006521398517727742,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_chandelier,ETHUSDT,15m,1633,21.61,0.9642761828023275,0.3508879363135334,-10.441436935067031,-0.0064,-0.18704865443429292,-0.21675322849571826,0.003741269651874697,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_chandelier,BTCUSDT,1h,529,7.0,1.3313783765216487,0.42722117202268434,76.52703834000567,0.1447,0.8907491062259748,0.9119857635675765,0.0017487710001052575,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_chandelier,ETHUSDT,1h,495,6.55,1.524134301161816,0.4383838383838384,69.62184664997221,0.1407,1.30766209599996,1.3172408434799199,0.0008368410014452066,ok,LIVE_STOP / RESEARCH_ONLY,
nested_outer_oos_stitched,tsm_chandelier,BTCUSDT+ETHUSDT,1h,394,13.324642222222222,1.5641253019586832,0.47715736040609136,108.7826255449927,0.2760980343781723,1.5861402475641468,1.571888985682518,0.001751124475514548,LIVE_STOP / RESEARCH_ONLY_PENDING_DSR_BOOTSTRAP_STRESS,LIVE_STOP / RESEARCH_ONLY_PENDING_DSR_BOOTSTRAP_STRESS,dsr_bootstrap_stress_not_run
nested_outer_oos_stitched_symbol,tsm_chandelier,BTCUSDT,1h,202,,1.485064855978614,0.4801980198019802,62.97277795500668,0.3117464255198016,1.3725331125277316,1.39150549084423,0.001751124475514548,oos_symbol,LIVE_STOP / RESEARCH_ONLY_PENDING_DSR_BOOTSTRAP_STRESS,
nested_outer_oos_stitched_symbol,tsm_chandelier,ETHUSDT,1h,192,,1.7270165506811883,0.4739583333333333,45.80984758998602,0.23859295619791654,1.7997473826005619,1.752272480520806,0.0006343040010348534,oos_symbol,LIVE_STOP / RESEARCH_ONLY_PENDING_DSR_BOOTSTRAP_STRESS,
full_history_baseline,tsm_ema200_channel_breakout,BTCUSDT,15m,3948,52.24,0.8016589518619982,0.2877406281661601,-218.67925377999563,-0.0554,-1.868605154644159,-1.7647985714376229,0.023571676745088917,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema200_channel_breakout,ETHUSDT,15m,4136,54.73,0.8108081581491918,0.2736943907156673,-128.00831531003496,-0.0309,-1.8867521289069602,-1.9437104177727715,0.013266779500326863,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema200_channel_breakout,BTCUSDT,1h,1060,14.03,0.8985079648060388,0.31886792452830187,-52.9831250200059,-0.05,-0.4894874957569442,-0.48865206999383337,0.007607900626663611,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema200_channel_breakout,ETHUSDT,1h,1136,15.03,0.9122253364762495,0.2984154929577465,-28.649542350023694,-0.0252,-0.4444967718159654,-0.42515905242728075,0.005428169647870247,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema20_200,BTCUSDT,1d,83,1.1,0.9014434276530592,0.3493975903614458,-18.249269275003826,-0.2199,-0.15545304678743488,-0.15552760111504516,0.00626555830969714,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema20_200,ETHUSDT,1d,70,0.93,0.9770759183817965,0.4,-2.4425870049981313,-0.0349,-0.03392371159793226,-0.03368120260377992,0.0027854676502000976,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema20_200,BTCUSDT,4h,458,6.06,1.0744762109425479,0.38427947598253276,28.17091269501543,0.0615,0.25154505564553203,0.2752617127374792,0.0027458136508745185,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema20_200,ETHUSDT,4h,490,6.48,0.9279539254391213,0.35918367346938773,-19.02416160001303,-0.0388,-0.2539357645433158,-0.2587974011136916,0.004072718904235543,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema2155_ribbon,BTCUSDT,1h,1857,24.57,0.8402880324513211,0.3753365643511039,-104.03495438999198,-0.056,-1.0599410166816072,-1.0826034299151255,0.010933743788589724,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema2155_ribbon,ETHUSDT,1h,1903,25.18,0.8853295304683846,0.35470310036784025,-44.5920526599748,-0.0234,-0.7430933400159062,-0.7595906652327999,0.007290635942346216,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema2155_ribbon,BTCUSDT,4h,437,5.78,0.9594729721883956,0.39359267734553777,-11.54233401498459,-0.0264,-0.12891124480165986,-0.13522456384351014,0.0037759918880822,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_ema2155_ribbon,ETHUSDT,4h,473,6.26,0.9444937186529817,0.3488372093023256,-10.757741639992673,-0.0227,-0.18475841307391772,-0.17723579246929888,0.004590840559321814,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_engulf_demand,BTCUSDT,4h,71,0.94,1.5739947225467004,0.4788732394366197,20.47414929500701,0.2884,0.5251687712042239,0.5799191050835485,0.0004977936266971513,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_engulf_demand,ETHUSDT,4h,33,0.44,1.2954627616451055,0.48484848484848486,3.475246349997178,0.1053,0.2038328982417014,0.21344926087816524,0.0006149375147402401,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_engulf_demand,BTCUSDT,1d,9,0.12,0.6301500344468236,0.3333333333333333,-7.0894160799980455,-0.7877,-0.24327224591056573,-0.270217792448566,0.0016242368537192024,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_engulf_demand,ETHUSDT,1d,7,0.09,0.019808265386595206,0.14285714285714285,-9.279313169996385,-1.3256,-0.7290010892253138,-0.8375044029364151,0.0009279313169996386,ok,LIVE_STOP / RESEARCH_ONLY,
nested_outer_oos_stitched,tsm_engulf_demand,BTCUSDT+ETHUSDT,4h,91,1.57373125,1.56476941211972,0.4835164835164835,23.812653295006385,0.261677508736264,0.445652046372944,0.4863092779559085,0.0006148789404681764,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,sharpe
nested_outer_oos_stitched_symbol,tsm_engulf_demand,BTCUSDT,4h,62,,1.6091468858028002,0.4838709677419355,19.383874820008714,0.31264314225806505,0.5888465000378534,0.6563606121241063,0.0004978478557173333,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
nested_outer_oos_stitched_symbol,tsm_engulf_demand,ETHUSDT,4h,29,,1.4282261271721377,0.4827586206896552,4.428778474997671,0.15271649913793064,0.3024575927080346,0.3162579437877107,0.0006148789404681764,oos_symbol,LIVE_STOP / RESEARCH_ONLY_FAILED_GATES,
full_history_baseline,tsm_failed_breakout,BTCUSDT,15m,4953,65.54,0.695890523046126,0.3646274984857662,-325.0077874749968,-0.0656,-3.555811720000358,-3.236177781167186,0.032646638851139095,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_failed_breakout,ETHUSDT,15m,4817,63.74,0.7918965227672412,0.3724309736350426,-124.22488336997594,-0.0258,-2.3213429071505796,-2.4441452918655826,0.012665347825029193,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_failed_breakout,BTCUSDT,1h,1128,14.93,0.8685218450380429,0.3971631205673759,-54.1077384500004,-0.048,-0.6978171681818947,-0.6611993193078352,0.008777927868380567,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_failed_breakout,ETHUSDT,1h,1154,15.27,0.9463211478533808,0.41161178509532065,-13.389368640024259,-0.0116,-0.2722133432791231,-0.28254512668371745,0.002279673628067856,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_flag_ema2155,BTCUSDT,1h,770,10.19,0.8269566930604395,0.36493506493506495,-74.5674790699959,-0.0968,-0.7672924614328923,-0.8101405519333387,0.009297051072636741,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_flag_ema2155,ETHUSDT,1h,787,10.41,0.9424921091720334,0.38246505717916135,-15.540771264999421,-0.0197,-0.23233004766252693,-0.25745204054371723,0.0041816059630188475,ok,LIVE_STOP / RESEARCH_ONLY,
full_history_baseline,tsm_flag_ema2155,BTCUSDT,4h,222,2.94,0.7410030617291231,0.3333333333333333,-60.06818153999484,-0.2706,-0.6218532664541854,-0.6156016621298417,0.009739384049126675,ok,LIVE_STOP / RESEARCH_ONLY,
