month,n_trades,net_pnl
2023-11,8,-1.6237649200000115
2023-12,6,-0.9399416799999958
2024-01,9,0.6465034649999972
2024-02,7,7.534942030000011
2024-03,2,-2.603908404999994
2024-04,7,5.891489309999983
2024-05,6,2.006075974999997
2024-06,10,0.6600329300000032
2024-07,9,5.025579430000003
2024-08,12,14.629899525000008
2024-09,4,2.8461598700000046
2024-10,2,2.9699622200000015
2024-11,5,5.652691564999985
2024-12,7,-1.480716275000003
2025-01,7,1.0977054249999645
2025-02,3,-4.529741109999986
2025-03,6,1.1646668199999943
2025-04,8,-4.301157614999994
2025-05,10,7.119482354999986
2025-06,7,1.678680194999994
2025-07,3,4.864852715
2025-08,10,-5.372917515000012
2025-09,7,1.5570292100000205
2025-10,6,8.07919651499999
2025-11,4,14.418118999999988
2025-12,15,-10.672870294999992
2026-01,8,3.907536009999977
2026-02,5,3.3209703250000064
2026-03,3,-0.13186200499999684
2026-04,6,-0.4419171150000146
