trade_id,symbol,side,entry_ts_ms,exit_ts_ms,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe
1,ETHUSDT,long,1578042000000,1578171600000,2020-01-03T09:00:00+00:00,2020-01-04T21:00:00+00:00,132.19,134.01,129.33,140.45,0.04,36,max_hold,0.07279999999999973,0.06694359999999973,0.0058563999999999995,0.002799999999999727,0.0,-0.05,0.14440000000000056
2,ETHUSDT,long,1578445200000,1578488400000,2020-01-08T01:00:00+00:00,2020-01-08T13:00:00+00:00,147.59,141.77,141.77,164.73,0.04,12,stop,-0.23279999999999973,-0.23916591999999973,0.006365920000000001,0.0032000000000005,0.0,-0.27680000000000066,0.00919999999999959
3,ETHUSDT,long,1578762000000,1578780000000,2020-01-11T17:00:00+00:00,2020-01-11T22:00:00+00:00,146.42,142.74,142.74,156.93,0.04,5,stop,-0.14719999999999914,-0.15356151999999915,0.006361520000000001,0.0031999999999993635,0.0,-0.17079999999999929,0.06440000000000054
4,ETHUSDT,short,1579435200000,1579564800000,2020-01-19T12:00:00+00:00,2020-01-21T00:00:00+00:00,166.71,167.01,172.47,150.08,0.03,36,max_hold,-0.008999999999999488,-0.014506379999999488,0.00550638,0.002700000000000102,0.0,-0.08309999999999945,0.15630000000000024
5,ETHUSDT,long,1580900400000,1580936400000,2020-02-05T11:00:00+00:00,2020-02-05T21:00:00+00:00,195.59,207.2,191.63,207.2,0.03,10,target,0.34829999999999955,0.34165396499999956,0.006646035,0.002999999999999829,0.0,-0.027299999999999897,0.3777000000000001
6,ETHUSDT,long,1581436800000,1581465600000,2020-02-11T16:00:00+00:00,2020-02-12T00:00:00+00:00,229.57,247.0,223.59,247.0,0.03,8,target,0.5229000000000001,0.5150365950000001,0.007863405,0.003600000000000136,0.0,-0.028799999999999385,0.5915999999999999
7,ETHUSDT,long,1581469200000,1581598800000,2020-02-12T01:00:00+00:00,2020-02-13T13:00:00+00:00,248.16,269.13,237.82,278.94,0.03,36,max_hold,0.6291,0.620564715,0.008535285,0.0038999999999998636,0.0,-0.1622999999999999,0.9192000000000005
8,ETHUSDT,short,1581872400000,1581876000000,2020-02-16T17:00:00+00:00,2020-02-16T18:00:00+00:00,246.66,255.38,255.38,220.85,0.03,1,stop,-0.26159999999999994,-0.26988365999999997,0.008283660000000002,0.0038999999999998636,0.0,-0.29369999999999974,0.1179000000000002
9,ETHUSDT,short,1582149600000,1582279200000,2020-02-19T22:00:00+00:00,2020-02-21T10:00:00+00:00,262.67,260.93,268.86,244.26,0.02,36,max_hold,0.034800000000000185,0.029040400000000185,0.0057596,0.002799999999999727,0.0,-0.07959999999999923,0.3352000000000004
10,ETHUSDT,short,1583949600000,1583956800000,2020-03-11T18:00:00+00:00,2020-03-11T20:00:00+00:00,184.44,192.67,192.67,159.98,0.03,2,stop,-0.24689999999999968,-0.25312231499999965,0.006222315,0.002999999999999829,0.0,-0.2627999999999997,0.07680000000000006
11,ETHUSDT,short,1584010800000,1584010800000,2020-03-12T11:00:00+00:00,2020-03-12T11:00:00+00:00,131.56,146.96,146.96,86.09,0.04,0,stop_entry_bar,-0.6160000000000002,-0.6221274400000002,0.006127440000000001,0.002799999999999727,0.0,-0.6975999999999999,0.5316000000000003
12,ETHUSDT,long,1584309600000,1584309600000,2020-03-15T22:00:00+00:00,2020-03-15T22:00:00+00:00,133.07,123.97,123.97,160.55,0.04,0,stop_entry_bar,-0.36399999999999977,-0.3696548799999998,0.005654880000000001,0.002799999999999727,0.0,-0.45079999999999987,0.004400000000000546
13,ETHUSDT,short,1584313200000,1584442800000,2020-03-15T23:00:00+00:00,2020-03-17T11:00:00+00:00,123.85,116.74,132.44,98.4,0.05,36,max_hold,0.3555,0.348883775,0.006616225,0.0035000000000003696,0.0,-0.09750000000000014,1.1869999999999998
14,ETHUSDT,long,1584612000000,1584655200000,2020-03-19T10:00:00+00:00,2020-03-19T22:00:00+00:00,124.1,141.85,118.05,141.85,0.05,12,target,0.8875000000000001,0.8801863750000001,0.007313625000000001,0.003499999999999659,0.0,-0.09399999999999978,0.9620000000000005
15,ETHUSDT,long,1584968400000,1585098000000,2020-03-23T13:00:00+00:00,2020-03-25T01:00:00+00:00,132.8,139.86,125.39,154.84,0.04,36,max_hold,0.2824000000000001,0.2764014800000001,0.00599852,0.002800000000000864,0.0,-0.2408000000000004,0.4255999999999995
