trade_id,symbol,side,entry_ts_ms,exit_ts_ms,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe
1,SOLUSDT,short,1601571600000,1601586000000,2020-10-01T17:00:00+00:00,2020-10-01T21:00:00+00:00,2.72,2.82,2.82,2.44,1.9,4,stop,-0.1899999999999993,-0.1957892999999993,0.005789300000000001,0.017669999999999318,0.0,-0.19322999999999937,0.12426000000000065
2,SOLUSDT,short,1601618400000,1601748000000,2020-10-02T06:00:00+00:00,2020-10-03T18:00:00+00:00,2.67,2.65,2.86,2.11,1.9,36,max_hold,0.038000000000000034,0.032440600000000035,0.005559399999999999,0.003040000000000509,0.0,-0.04731000000000027,0.47043999999999964
3,SOLUSDT,short,1601982000000,1602021600000,2020-10-06T11:00:00+00:00,2020-10-06T22:00:00+00:00,2.46,2.16,2.57,2.16,2.1,11,target,0.6299999999999997,0.6246638999999997,0.005336100000000001,0.011759999999999637,0.0,-0.023309999999999765,0.65583
4,SOLUSDT,long,1602234000000,1602363600000,2020-10-09T09:00:00+00:00,2020-10-10T21:00:00+00:00,2.54,2.46,2.38,2.99,2.0,36,max_hold,-0.16000000000000014,-0.16550000000000015,0.0055,0.017199999999999882,0.0,-0.21640000000000015,0.17779999999999951
5,SOLUSDT,short,1602824400000,1602824400000,2020-10-16T05:00:00+00:00,2020-10-16T05:00:00+00:00,2.15,2.2,2.2,2.01,2.4,0,stop_entry_bar,-0.12000000000000063,-0.12574200000000063,0.005742000000000001,0.006959999999999766,0.0,-0.13271999999999975,0.0011999999999993348
6,SOLUSDT,short,1603069200000,1603180800000,2020-10-19T01:00:00+00:00,2020-10-20T08:00:00+00:00,2.15,1.95,2.23,1.95,2.4,31,target,0.47999999999999987,0.4745879999999999,0.005412,0.020639999999999856,0.0,-0.07848000000000041,0.5231999999999999
7,SOLUSDT,short,1603605600000,1603728000000,2020-10-25T06:00:00+00:00,2020-10-26T16:00:00+00:00,1.85,1.66,1.93,1.66,2.8,34,target,0.5320000000000005,0.5265946000000005,0.0054053999999999994,0.025759999999999648,0.0,-0.12907999999999945,0.6280400000000004
8,SOLUSDT,short,1604012400000,1604120400000,2020-10-29T23:00:00+00:00,2020-10-31T05:00:00+00:00,1.41,1.5,1.5,1.17,3.6,30,stop,-0.3240000000000003,-0.32976180000000027,0.005761800000000001,0.029159999999999988,0.0,-0.3366000000000005,0.2595599999999994
9,SOLUSDT,short,1604307600000,1604437200000,2020-11-02T09:00:00+00:00,2020-11-03T21:00:00+00:00,1.51,1.43,1.6,1.26,3.4,36,max_hold,0.27200000000000024,0.26650220000000024,0.0054978,0.0265200000000001,0.0,-0.06221999999999994,0.30498000000000036
10,SOLUSDT,long,1604588400000,1604656800000,2020-11-05T15:00:00+00:00,2020-11-06T10:00:00+00:00,1.46,1.69,1.37,1.69,3.5,19,target,0.8049999999999999,0.7989362499999999,0.00606375,0.035699999999999954,0.0,-0.2460500000000001,0.9919000000000003
11,SOLUSDT,long,1605790800000,1605819600000,2020-11-19T13:00:00+00:00,2020-11-19T21:00:00+00:00,2.16,2.06,2.06,2.43,2.4,8,stop,-0.2400000000000002,-0.24557040000000022,0.0055704000000000005,0.017040000000000787,0.0,-0.25008000000000014,0.06791999999999944
12,SOLUSDT,long,1605970800000,1606006800000,2020-11-21T15:00:00+00:00,2020-11-22T01:00:00+00:00,2.36,2.2,2.2,2.84,2.2,10,stop,-0.35199999999999937,-0.3575175999999994,0.005517600000000001,0.004180000000000028,0.0,-0.5279999999999996,0.35288000000000025
13,SOLUSDT,long,1606802400000,1606824000000,2020-12-01T06:00:00+00:00,2020-12-01T12:00:00+00:00,2.06,1.95,1.95,2.34,2.5,6,stop,-0.27500000000000024,-0.28051375000000023,0.00551375,0.02375000000000016,0.0,-0.31625000000000014,0.18349999999999977
14,SOLUSDT,short,1607079600000,1607209200000,2020-12-04T11:00:00+00:00,2020-12-05T23:00:00+00:00,1.97,1.96,2.06,1.75,2.6,36,max_hold,0.026000000000000023,0.020380100000000023,0.005619900000000001,0.022099999999999877,0.0,-0.0951600000000005,0.4009199999999997
15,SOLUSDT,short,1607367600000,1607464800000,2020-12-07T19:00:00+00:00,2020-12-08T22:00:00+00:00,1.82,1.65,1.88,1.65,2.8,27,target,0.47600000000000037,0.47065620000000036,0.0053438,0.004480000000000128,0.0,-0.05123999999999995,0.4768400000000003
16,SOLUSDT,short,1607500800000,1607554800000,2020-12-09T08:00:00+00:00,2020-12-09T23:00:00+00:00,1.55,1.67,1.67,1.2,3.3,15,stop,-0.3959999999999996,-0.4018442999999996,0.0058443,0.009899999999999642,0.0,-0.40392000000000017,0.17523000000000047
17,SOLUSDT,long,1607864400000,1607868000000,2020-12-13T13:00:00+00:00,2020-12-13T14:00:00+00:00,1.62,1.58,1.58,1.73,3.1,1,stop,-0.12400000000000011,-0.1294560000000001,0.005456000000000001,0.01178000000000008,0.0,-0.16833000000000006,0.02138999999999971
18,SOLUSDT,long,1608001200000,1608130800000,2020-12-15T03:00:00+00:00,2020-12-16T15:00:00+00:00,1.66,1.69,1.59,1.87,3.1,36,max_hold,0.09300000000000008,0.08728825000000008,0.00571175,0.009609999999999631,0.0,-0.18599999999999947,0.43772
19,SOLUSDT,long,1609981200000,1610006400000,2021-01-07T01:00:00+00:00,2021-01-07T08:00:00+00:00,2.19,1.94,1.94,2.91,2.3,7,stop,-0.575,-0.58022445,0.00522445,0.007129999999999725,0.0,-0.75095,0.03725999999999998
20,SOLUSDT,long,1610100000000,1610107200000,2021-01-08T10:00:00+00:00,2021-01-08T12:00:00+00:00,2.74,3.63,2.43,3.63,1.9,2,target,1.6909999999999994,1.6843433499999994,0.00665665,0.02052000000000027,0.0,-0.059850000000000576,2.105199999999999
21,SOLUSDT,long,1610110800000,1610136000000,2021-01-08T13:00:00+00:00,2021-01-08T20:00:00+00:00,3.66,3.14,3.14,5.2,1.4,7,stop,-0.728,-0.733236,0.005235999999999999,0.013860000000000027,0.0,-0.9179799999999999,0.15245999999999968
